id,claimDate,insuredPersonId,cardNumber,examDate,documents,claimAmount,status,receiverBankingInfo
f-0000000001,2019/01/11,c-0000007,0000000004,2019/01/16,,1350.93,N,BankA-Thor Odinson-123456
f-0000000002,2019/02/06,c-0000014,0000000007,2019/02/08,f-0000000002_0000000007_report.pdf,750.9,P,BankB-Bruce Banner-789012
f-0000000003,2019/03/13,c-0000004,0000000003,2019/03/15,f-0000000003_0000000003_receipt.pdf;f-0000000003_0000000003_invoice.pdf,820.94,D,BankC-Erik Killmonger-345678
f-0000000004,2019/04/19,c-0000001,0000000001,2019/04/21,f-0000000004_0000000001_invoice.pdf,650.52,N,BankD-John Doe-901234
f-0000000005,2019/05/23,c-0000002,0000000002,2019/05/26,f-0000000005_0000000002_report.pdf;f-0000000005_0000000002_summary.pdf,500.02,P,BankE-Diana Prince-567890
f-0000000006,2019/07/01,c-0000008,0000000005,2019/07/03,f-0000000006_0000000005_details.pdf,1100.47,D,BankF-T'Challa-678901
f-0000000007,2019/08/10,c-0000016,0000000008,2019/08/12,f-0000000007_0000000008_form.pdf,430.49,P,BankH-Scott Lang-890123
f-0000000008,2019/11/12,c-0000020,0000000011,2019/11/14,f-0000000008_0000000011_evaluation.pdf;f-0000000008_0000000011_estimate.pdf,850.57,P,BankK-Loki Laufeyson-123456
f-0000000009,2019/12/19,c-0000030,0000000029,2019/12/21,f-0000000009_0000000029_claim.pdf;f-0000000009_0000000029_report.pdf,920.85,D,BankL-Okoye-234567
f-0000000010,2020/01/08,c-0000024,0000000013,2020/01/10,,760.84,N,BankM-Vision-345678
f-0000000011,2020/02/15,c-0000025,0000000014,2020/02/17,f-0000000011_0000000014_details.pdf;f-0000000011_0000000014_summary.pdf;f-0000000011_0000000014_invoice.pdf,970.6,P,BankN-Bob Johnson-456789
f-0000000012,2020/03/24,c-0000028,0000000015,2020/03/26,f-0000000012_0000000015_analysis.pdf,1100.36,D,BankO-Nakia-567890
f-0000000013,2020/04/19,c-0000017,0000000009,2020/04/21,,720.33,N,BankP-M'Baku-678901
f-0000000014,2020/11/13,c-0000004,0000000033,2020/11/15,f-0000000014_0000000033_report.pdf,930.86,P,BankW-Steve Rogers-345678
f-0000000015,2021/01/16,c-0000022,0000000024,2021/01/18,f-0000000015_0000000024_receipt.pdf;f-0000000015_0000000024_claim.pdf,600.07,N,BankY-Stephen Strange-567890
f-0000000016,2021/03/06,c-0000023,0000000025,2021/03/08,,540.24,D,BankAA-Charlie Brown-789012
f-0000000017,2021/07/23,c-0000027,0000000027,2021/07/26,,430.3,N,BankAE-Everett Ross-123456
f-0000000018,2021/09/16,c-0000012,0000000020,2021/09/19,f-0000000018_0000000020_invoice.pdf,640.52,D,BankAG-Tony Stark-345678
f-0000000019,2021/10/05,c-0000018,0000000010,2021/10/07,f-0000000019_0000000010_report.pdf;f-0000000019_0000000010_analysis.pdf,690.45,N,BankAH-Peter Quill-456789
f-0000000020,2021/11/20,c-0000006,0000000030,2021/11/22,f-0000000020_0000000030_receipt.pdf,500.23,P,BankAI-Natasha Romanoff-567890
f-0000000021,2021/12/13,c-0000019,0000000023,2021/12/16,f-0000000021_0000000023_claim.pdf;f-0000000021_0000000023_evaluation.pdf,760.97,D,BankAJ-Shuri-678901
f-0000000022,2021/07/13,c-0000013,0000000021,2021/07/16,f-0000000022_0000000021_invoice.pdf;f-0000000022_0000000021_analysis.pdf,920.55,P,BankAA-Hope Van Dyne-012345
f-0000000023,2022/01/02,c-0000001,0000000031,2022/01/06,f-0000000023_0000000031_report.pdf;f-0000000023_0000000031_invoice.pdf,810.4,N,BankAK-John Doe-789012
f-0000000024,2022/02/18,c-0000011,0000000019,2022/02/20,f-0000000024_0000000019_invoice.pdf;f-0000000024_0000000019_receipt.pdf,875.44,P,BankAL-Peter Parker-890123
f-0000000025,2022/03/04,c-0000026,0000000026,2022/03/06,f-0000000025_0000000026_claim.pdf,920.74,D,BankAM-Alice Johnson-901234
f-0000000026,2022/05/10,c-0000027,0000000028,2022/05/12,f-0000000026_0000000028_analysis.pdf;f-0000000026_0000000028_summary.pdf,980.89,P,BankAO-Everett Ross-123456
f-0000000027,2022/06/28,c-0000006,0000000030,2022/06/30,f-0000000027_0000000030_invoice.pdf;f-0000000027_0000000030_report.pdf,650.65,D,BankAP-Natasha Romanoff-234567
f-0000000028,2022/07/14,c-0000013,0000000021,2022/07/16,,490.27,N,BankAQ-Hope Van Dyne-345678
f-0000000029,2022/08/31,c-0000015,0000000022,2022/09/02,f-0000000029_0000000022_receipt.pdf,760.4,P,BankAR-Wanda Maximoff-456789
f-0000000030,2023/01/24,c-0000019,0000000023,2023/01/26,f-0000000030_0000000023_analysis.pdf,960.29,N,BankAW-Shuri-901234
f-0000000031,2023/02/16,c-0000005,0000000017,2023/02/21,f-0000000031_0000000017_receipt.pdf,510.46,D,BankAS-Steve Rogers-456
f-0000000032,2023/02/16,c-0000005,0000000017,2023/02/21,f-0000000032_0000000017_receipt.pdf,510.79,D,BankAS-Steve Rogers-456789
f-0000000033,2023/03/03,c-0000026,0000000026,2023/03/07,f-0000000033_0000000026_report.pdf;f-0000000033_0000000026_invoice.pdf,820.83,N,BankAT-Alice Johnson-567890
f-0000000034,2023/03/21,c-0000011,0000000019,2023/03/25,f-0000000034_0000000019_summary.pdf,430.69,P,BankAU-Peter Parker-678901
f-0000000035,2023/04/06,c-0000022,0000000024,2023/04/11,f-0000000035_0000000024_analysis.pdf,870.4,D,BankAV-Stephen Strange-789012
f-0000000036,2023/04/24,c-0000016,0000000008,2023/04/28,f-0000000036_0000000008_receipt.pdf,600.93,N,BankAW-Scott Lang-890123
f-0000000037,2023/05/09,c-0000027,0000000027,2023/05/14,f-0000000037_0000000027_report.pdf,650.96,P,BankAX-Everett Ross-901234
f-0000000038,2023/06/15,c-0000025,0000000014,2023/06/19,f-0000000038_0000000014_evaluation.pdf,590.51,N,BankAZ-Bob Johnson-234567
f-0000000039,2023/07/02,c-0000003,0000000016,2023/07/06,f-0000000039_0000000016_claim.pdf;f-0000000039_0000000016_summary.pdf,810.58,P,BankBA-Bruce Wayne-345678
f-0000000040,2023/07/20,c-0000012,0000000020,2023/07/24,f-0000000040_0000000020_report.pdf,930.91,D,BankBB-Tony Stark-456789
