cardNumber,cardHolderId,policyOwner,expirationDate
0000000001,c-0000001,BaoMinh,2025-12-31
0000000002,c-0000002,BaoViet,2025-08-15
0000000003,c-0000004,Pjico,2026-11-20
0000000004,c-0000007,Pjico,2026-05-07
0000000005,c-0000008,BaoViet,2027-03-14
0000000006,c-0000010,BaoLong,2027-07-22
0000000007,c-0000014,BaoLong,2024-09-09
0000000008,c-0000016,Prudential,2024-12-12
0000000009,c-0000017,AIA,2028-01-01
0000000010,c-0000018,Prudential,2028-03-23
0000000011,c-0000020,AIA,2028-06-17
0000000012,c-0000021,Cathay,2026-10-10
0000000013,c-0000024,Cathay,2024-11-11
0000000014,c-0000025,Manulife,2024-12-25
0000000015,c-0000028,Manulife,2023-07-19
